district,subdistrict,community,rooms,halls,area_sqm,total_price_wan,unit_price,metro_distance_m,标题,关键词,est_transaction_price_wan,est_unit_price
罗湖,翠竹,怡泰大厦,1.0,1.0,57.54,190,33020,339.0,罗湖怡泰大厦、精装修，交通便利、拎包入住,"满二年
近地铁
新上
南",171.0,29718
罗湖,翠竹,翠竹苑,2.0,2.0,50.02,240,47980,326.0,V代翠竹苑，可谈价2房，中间楼层，翠竹外国语未用，视野开阔,"近地铁
新上
南北通
民水民电",216.0,43182
罗湖,翠竹,翠竹苑,3.0,2.0,66.03,270,40890,326.0,翠竹苑3房送天台花园,"近地铁
新上
南北通
民水民电",243.0,36801
罗湖,人民南,云景豪园,1.0,1.0,48.0,195,40625,210.0,业主急急急急出国发展，高楼层厅出阳台大一房可两房，地铁口岸,"满二年
近地铁
新上
西",175.5,36562
盐田,沙头角,倚山花园（三期）,3.0,2.0,143.5,498,34703,632.0,次新车位充足 花园社区 精装大3房 周边配套齐全,"近地铁
新上
东南
民水民电",448.2,31233
龙华,观澜,和黄懿花园(观澜),3.0,2.0,87.1,370,42479,,业主急售优质书包小区环境好,"新上
东
民水民电
拎包入住",333.0,38231
罗湖,布心,松泉公寓,3.0,2.0,67.79,210,30978,520.0,水贝地铁口  松泉公寓三房出售,"近地铁
新上
南北通
民水民电",189.0,27880
罗湖,银湖,银湖蓝山润园（二期）,6.0,2.0,267.48,2880,107671,736.0,带入户和大露台，高楼层， 坐北朝南，奢华装修,"近地铁
新上
南北通
民水民电",2592.0,96904
宝安,宝安中心区,西城上筑花园,3.0,2.0,104.63,890,85061,470.0,宝中3+1房  壹方城商圈  主卧出大露台 满5年,"近地铁
新上
东南
民水民电",801.0,76555
罗湖,翠竹,合正荣悦,3.0,2.0,88.0,680,77272,410.0,合正荣悦三房户型方正价格可以谈,"近地铁
新上
东南
民水民电",612.0,69545
罗湖,百仕达,百仕达花园五期(乐湖),3.0,2.0,115.85,718,61976,768.0,中高楼层，景观单位，水库、梧桐山景尽收眼底,"近地铁
新上
东北
民水民电",646.2,55778
罗湖,翠竹,翠竹苑,2.0,1.0,57.0,265,46491,326.0,新上！四面采光好房！高使用率，南北通，翠竹外国语未用,"近地铁
新上
民水民电",238.5,41842
罗湖,翠竹,翠竹苑,2.0,1.0,52.0,240,46153,326.0,翠竹苑拆已经启动，山下公园之家，地铁口，生活无忧，,"满二年
近地铁
新上
南",216.0,41538
罗湖,翠竹,翠竹苑,3.0,1.0,56.67,290,51173,326.0,翠竹苑 赠送天台花园 两房改三房 装修好,"近地铁
南
民水民电
精装修",261.0,46056
罗湖,布心,东晓花园,3.0,2.0,83.35,307,36832,231.0,地铁口物业，黄金楼层，诚意出售,"满二年
近地铁
南
民水民电",276.3,33149
罗湖,翠竹,华丽园,2.0,2.0,90.36,480,53120,358.0,业主急售，再--几十个，轻松做三房，無个税红本,"近地铁
新上
西南
民水民电",432.0,47808
罗湖,布心,丰湖大厦,2.0,2.0,68.0,260,38235,520.0,朝南向采光好业主急售价格可谈,"近地铁
新上
南
民水民电",234.0,34412
罗湖,翠竹,深宝公司宿舍,2.0,2.0,68.42,378,55247,502.0,深中两房，中间楼层，业主急卖，谈价空间大，配套齐全,"近地铁
南
民水民电
精装修",340.2,49722
罗湖,翠竹,益田御龙天地华府一期,3.0,2.0,115.0,820,71304,,新上笋盘！御龙天地正规3房南北通透，房产证已拿，带翠竹小,"满二年
新上
东北
民水民电",738.0,64174
福田,香蜜湖,香蜜湖一号,4.0,2.0,241.89,5600,231510,111.0,香蜜湖一号高楼层带南面大阳台，全新装修未住，视野开阔,"近地铁
新上
南北通
民水民电",5040.0,208359
罗湖,水库,外贸大院,3.0,2.0,86.0,330,38372,532.0,外贸大院 装了电梯 第二实在 急卖 价格好谈,"近地铁
新上
南
民水民电",297.0,34535
罗湖,水库,深华丽园,3.0,2.0,115.0,520,45217,432.0,满五年看房方便业主急售水贝珠宝商圈,"近地铁
新上
西
民水民电",468.0,40695
罗湖,布心,鸿翠苑,1.0,1.0,46.77,175,37417,611.0,鸿翠苑精装修一房一厅，急售好房价格可谈,"满二年
近地铁
北
民水民电",157.5,33675
罗湖,黄贝岭,华丽花园,3.0,2.0,100.0,408,40800,456.0,螺岭 华丽花园 电梯房 看东湖水库 通风采光好  税费少,"近地铁
新上
东南
民水民电",367.2,36720
罗湖,布心,松泉山庄,3.0,2.0,99.65,300,30105,408.0,满五年红本在手业主急售朝南大三房,"满二年
近地铁
南北通
民水民电",270.0,27094
罗湖,布心,翠山花半里雅筑,2.0,2.0,57.8,188,32525,714.0,水贝地铁口，业主急售，价格还可以谈，精装两房,"满二年
近地铁
新上
东南",169.2,29272
罗湖,人民南,森威大厦,1.0,,42.02,70,16658,283.0,88  文锦渡口岸一房一厅，业主急急急，钥匙有手24可以看,"满二年
近地铁
新上
东",63.0,14992
罗湖,布心,粤海城,3.0,2.0,137.51,700,50905,522.0,不限购不限贷 读双名教學看房 探底价私信我助您置好物,"近地铁
新上
东南
民水民电",630.0,45814
罗湖,莲塘,聚福花园（二期）,3.0,2.0,90.46,315,34822,361.0,业主急卖有钥匙，随时方便看只交契税，小区对面盒马，配套齐全,"近地铁
新上
北
民水民电",283.5,31340
盐田,梅沙,海阔凌海,2.0,2.0,80.07,185,23104,,(全海景房 大梅沙地铁口 端头位两面采光 精装修)海阔凌海,"新上
南
民水民电
电梯房",166.5,20794
罗湖,人民南,冠懋金色都汇（金色都汇）,3.0,1.0,69.38,468,67454,121.0,三地铁线，罗湖口岸，文锦渡口岸，好福地旺家旺丁大三房豪华装修,"近地铁
东
民水民电
电梯房",421.2,60709
南山,南山中心区,云海天城,2.0,2.0,75.94,470,61890,626.0,南山核心区，成熟社区，交通便利，经典二房,"近地铁
新上
北
民水民电",423.0,55701
南山,南山中心区,观海台,3.0,2.0,108.2,1399,129297,411.0,新上！观海台凤凰层109平，送固定独立车位，南北通透！,"近地铁
新上
南北通
民水民电",1259.1,116367
南山,蛇口,高山花园,5.0,2.0,158.7,1400,88216,523.0,铺就在附近，业主在国外交给我个人胡海芳专卖请直接联系我,"近地铁
南
民水民电
电梯房",1260.0,79394
罗湖,百仕达,东乐花园(罗湖),2.0,2.0,81.89,300,36634,393.0,周边配套成  熟交通便利  商圈丰富  近公园 户型方正实用,"近地铁
新上
南
民水民电",270.0,32971
罗湖,布心,崇德雍翠华府,2.0,2.0,61.23,240,39196,488.0,雍翠华府  业主诚心卖  东南向好房,"满二年
近地铁
新上
南",216.0,35276
罗湖,翠竹,翠竹苑,2.0,1.0,67.09,295,43970,310.0,翠竹苑的邻居，翠竹外国语，中间楼层，配套齐全，租金高,"近地铁
新上
南北通
民水民电",265.5,39573
罗湖,布心,今日家园,4.0,2.0,73.11,400,54712,241.0,好房新上，今日家园，翠园未用，业主诚意出售,"近地铁
新上
东南
民水民电",360.0,49241
罗湖,黄贝岭,金城华庭,2.0,2.0,54.0,275,50925,528.0,螺岭，金城华庭，花园小区，两房户型实用，满五年，配套齐全,"近地铁
新上
北
民水民电",247.5,45832
宝安,宝安中心区,宏发领域,5.0,2.0,203.73,1998,98070,212.0,前海宝中丨宏发领域丨业主急售丨全明格局丨动静分区丨使用率高,"近地铁
新上
东南
民水民电",1798.2,88263
宝安,宝安中心区,金泓凯旋城,2.0,2.0,81.18,610,75141,352.0,凯旋城朝南高楼层可做三房,"近地铁
新上
西南
民水民电",549.0,67627
龙岗,布吉,大世纪水山缘,2.0,2.0,62.49,228,36485,,17号地铁口业主急卖房，看房方便，采光好,"新上
东西通
民水民电
电梯房",205.2,32836
罗湖,翠竹,鹏城合正星园,3.0,2.0,103.43,820,79280,420.0,獨家鹏城合正星园，全屋定制精装修，厅出大阳台，深中锦田未用,"近地铁
北
民水民电
电梯房",738.0,71352
罗湖,布心,崇德雍翠华府,2.0,2.0,62.0,240,38709,488.0,满五年看房方便业主诚售红本在手,"近地铁
新上
南
民水民电",216.0,34838
盐田,沙头角,半山悦海,3.0,2.0,89.33,398,44553,858.0,次新小区，国区开发，3房精装高层，地铁口物业,"近地铁
西北
民水民电
电梯房",358.2,40098
罗湖,布心,中华花园,2.0,2.0,71.13,233,32756,364.0,水贝地铁口  中华花园精装两房出售,"近地铁
新上
南
民水民电",209.7,29480
盐田,盐田港,玺悦山,3.0,2.0,89.0,388,43595,,蓝山雅园，看山看海89平送50平精装拎包入住,"南
民水民电
电梯房
精装修",349.2,39236
罗湖,布心,鸿翠苑,1.0,1.0,46.62,180,38610,611.0,距离地铁近，步行可达，上班通勤方便,"近地铁
南
民水民电
电梯房",162.0,34749
